,names,score,date,link
0,復仇者聯盟：無限之戰,4.6,2018-04-25,https://movies.yahoo.com.tw/movieinfo_main/%E5%BE%A9%E4%BB%87%E8%80%85%E8%81%AF%E7%9B%9F-%E7%84%A1%E9%99%90%E4%B9%8B%E6%88%B0-avengers-infinity-war-7866
1,侏羅紀世界:殞落國度,4.3,2018-06-06,https://movies.yahoo.com.tw/movieinfo_main/%E4%BE%8F%E7%BE%85%E7%B4%80%E4%B8%96%E7%95%8C-%E6%AE%9E%E8%90%BD%E5%9C%8B%E5%BA%A6-jurassic-world-fallen-kingdom-7550
2,不可能的任務：全面瓦解,4.5,2018-07-25,https://movies.yahoo.com.tw/movieinfo_main/%E4%B8%8D%E5%8F%AF%E8%83%BD%E7%9A%84%E4%BB%BB%E5%8B%99-%E5%85%A8%E9%9D%A2%E7%93%A6%E8%A7%A3-mission-impossible-fall-out-7767
3,與神同行：最終審判,4.1,2018-08-08,https://movies.yahoo.com.tw/movieinfo_main/%E8%88%87%E7%A5%9E%E5%90%8C%E8%A1%8C-%E6%9C%80%E7%B5%82%E5%AF%A9%E5%88%A4-along-with-the-gods-the-last-49-days-8264
4,一級玩家,4.6,2018-03-29,https://movies.yahoo.com.tw/movieinfo_main/%E4%B8%80%E7%B4%9A%E7%8E%A9%E5%AE%B6-ready-player-one-7414
5,黑豹,4.1,2018-02-13,https://movies.yahoo.com.tw/movieinfo_main/%E9%BB%91%E8%B1%B9-black-panther-6953
6,死侍2,4.0,2018-05-15,https://movies.yahoo.com.tw/movieinfo_main/%E6%AD%BB%E4%BE%8D2-deadpool-2-7820
7,蟻人與黃蜂女,4.4,2018-07-04,https://movies.yahoo.com.tw/movieinfo_main/%E8%9F%BB%E4%BA%BA%E8%88%87%E9%BB%83%E8%9C%82%E5%A5%B3-ant-man-and-the-wasp-7758
8,超人特攻隊2,4.6,2018-06-27,https://movies.yahoo.com.tw/movieinfo_main/%E8%B6%85%E4%BA%BA%E7%89%B9%E6%94%BB%E9%9A%8A2-incredibles-2-7871
9,紅雀,4.4,2018-02-28,https://movies.yahoo.com.tw/movieinfo_main/%E7%B4%85%E9%9B%80-red-sparrow-7241
10,移動迷宮：死亡解藥,4.0,2018-01-19,https://movies.yahoo.com.tw/movieinfo_main/%E7%A7%BB%E5%8B%95%E8%BF%B7%E5%AE%AE-%E6%AD%BB%E4%BA%A1%E8%A7%A3%E8%97%A5-maze-runner-the-death-cure-7300
11,瞞天過海:八面玲瓏,3.9,2018-06-14,https://movies.yahoo.com.tw/movieinfo_main/%E7%9E%9E%E5%A4%A9%E9%81%8E%E6%B5%B7-%E5%85%AB%E9%9D%A2%E7%8E%B2%E7%93%8F-oceans-8-7690
12,環太平洋2: 起義時刻,3.6,2018-03-21,https://movies.yahoo.com.tw/movieinfo_main/%E7%92%B0%E5%A4%AA%E5%B9%B3%E6%B4%8B2-%E8%B5%B7%E7%BE%A9%E6%99%82%E5%88%BB-pacific-rim-uprising-7352
13,摩天大樓,4.1,2018-07-12,https://movies.yahoo.com.tw/movieinfo_main/%E6%91%A9%E5%A4%A9%E5%A4%A7%E6%A8%93-skyscraper-8256
14,古墓奇兵,4.1,2018-03-08,https://movies.yahoo.com.tw/movieinfo_main/%E5%8F%A4%E5%A2%93%E5%A5%87%E5%85%B5-tomb-raider-7413
15,毀滅大作戰,4.5,2018-04-12,https://movies.yahoo.com.tw/movieinfo_main/%E6%AF%80%E6%BB%85%E5%A4%A7%E4%BD%9C%E6%88%B0-rampage-7569
16,巨齒鯊,3.8,2018-08-10,https://movies.yahoo.com.tw/movieinfo_main/%E5%B7%A8%E9%BD%92%E9%AF%8A-the-meg-8133
17,角頭2：王者再起,4.2,2018-02-14,https://movies.yahoo.com.tw/movieinfo_main/%E8%A7%92%E9%A0%AD2-%E7%8E%8B%E8%80%85%E5%86%8D%E8%B5%B7-gatao-2-the-new-leader-rising-7517
18,名偵探柯南:零的執行人,4.6,2018-07-06,https://movies.yahoo.com.tw/movieinfo_main/%E5%90%8D%E5%81%B5%E6%8E%A2%E6%9F%AF%E5%8D%97-%E9%9B%B6%E7%9A%84%E5%9F%B7%E8%A1%8C%E4%BA%BA-detective-conan-zero-the-enforcer-8102
19,噤界,3.9,2018-04-04,https://movies.yahoo.com.tw/movieinfo_main/%E5%99%A4%E7%95%8C-a-quiet-place-7509
20,格雷的五十道陰影：自由,4.0,2018-02-08,https://movies.yahoo.com.tw/movieinfo_main/%E6%A0%BC%E9%9B%B7%E7%9A%84%E4%BA%94%E5%8D%81%E9%81%93%E9%99%B0%E5%BD%B1-%E8%87%AA%E7%94%B1-fifty-shades-freed-7458
21,瘋狂亞洲富豪,4.2,2018-08-24,https://movies.yahoo.com.tw/movieinfo_main/%E7%98%8B%E7%8B%82%E4%BA%9E%E6%B4%B2%E5%AF%8C%E8%B1%AA-crazy-rich-asians-8136
22,花甲大人轉男孩,3.8,2018-02-09,https://movies.yahoo.com.tw/movieinfo_main/%E8%8A%B1%E7%94%B2%E5%A4%A7%E4%BA%BA%E8%BD%89%E7%94%B7%E5%AD%A9-back-to-the-good-times-7657
23,疾速救援,4.4,2018-01-12,https://movies.yahoo.com.tw/movieinfo_main/%E7%96%BE%E9%80%9F%E6%95%91%E6%8F%B4-the-commuter-7608
24,私刑教育2,4.3,2018-08-30,https://movies.yahoo.com.tw/movieinfo_main/%E7%A7%81%E5%88%91%E6%95%99%E8%82%B22-the-equalizer-2-8121
25,鬼修女,4.2,2018-09-06,https://movies.yahoo.com.tw/movieinfo_main/%E9%AC%BC%E4%BF%AE%E5%A5%B3-the-nun-8514
26,尖叫旅社3:怪獸假期,3.9,2018-07-19,https://movies.yahoo.com.tw/movieinfo_main/%E5%B0%96%E5%8F%AB%E6%97%85%E7%A4%BE3-%E6%80%AA%E7%8D%B8%E5%81%87%E6%9C%9F-hotel-transylvania-3-summer-vacation-7508
27,真心話大冒險,4.1,2018-05-11,https://movies.yahoo.com.tw/movieinfo_main/%E7%9C%9F%E5%BF%83%E8%A9%B1%E5%A4%A7%E5%86%92%E9%9A%AA-truth-or-dare-7889
28,決勝女王,4.4,2018-02-02,https://movies.yahoo.com.tw/movieinfo_main/%E6%B1%BA%E5%8B%9D%E5%A5%B3%E7%8E%8B-mollys-game-7528
29,水底情深,4.4,2018-02-14,https://movies.yahoo.com.tw/movieinfo_main/%E6%B0%B4%E5%BA%95%E6%83%85%E6%B7%B1-the-shape-of-water-7328
30,冠軍大叔,4.5,2018-06-15,https://movies.yahoo.com.tw/movieinfo_main/%E5%86%A0%E8%BB%8D%E5%A4%A7%E5%8F%94-champion-8224
31,郵報:密戰,4.3,2018-02-23,https://movies.yahoo.com.tw/movieinfo_main/%E9%83%B5%E5%A0%B1-%E5%AF%86%E6%88%B0-the-post-7479
32,縮小人生,2.4,2018-01-26,https://movies.yahoo.com.tw/movieinfo_main/%E7%B8%AE%E5%B0%8F%E4%BA%BA%E7%94%9F-downsizing-7222
33,12猛漢,4.2,2018-01-19,https://movies.yahoo.com.tw/movieinfo_main/12%E7%8C%9B%E6%BC%A2-12-strong-7495
34,星際大戰外傳:韓索羅,4.1,2018-05-23,https://movies.yahoo.com.tw/movieinfo_main/%E6%98%9F%E9%9A%9B%E5%A4%A7%E6%88%B0%E5%A4%96%E5%82%B3-%E9%9F%93%E7%B4%A2%E7%BE%85-solo-a-star-wars-story-7764
35,貼背戰,4.2,2018-06-22,https://movies.yahoo.com.tw/movieinfo_main/%E8%B2%BC%E8%83%8C%E6%88%B0-tag-8138
36,媽媽咪呀！回來了,4.5,2018-08-01,https://movies.yahoo.com.tw/movieinfo_main/%E5%AA%BD%E5%AA%BD%E5%92%AA%E5%91%80-%E5%9B%9E%E4%BE%86%E4%BA%86-mamma-mia-here-we-go-again-8208
37,溫徹斯特鬼屋,4.4,2018-02-02,https://movies.yahoo.com.tw/movieinfo_main/%E6%BA%AB%E5%BE%B9%E6%96%AF%E7%89%B9%E9%AC%BC%E5%B1%8B-winchester-7622
38,陰兒房第4章：鎖命亡靈,3.8,2018-04-13,https://movies.yahoo.com.tw/movieinfo_main/%E9%99%B0%E5%85%92%E6%88%BF%E7%AC%AC4%E7%AB%A0-%E9%8E%96%E5%91%BD%E4%BA%A1%E9%9D%88-insidious-chapter-4-7212
39,宿怨,3.0,2018-06-15,https://movies.yahoo.com.tw/movieinfo_main/%E5%AE%BF%E6%80%A8-hereditary-8027
40,小偷家族,4.2,2018-07-13,https://movies.yahoo.com.tw/movieinfo_main/%E5%B0%8F%E5%81%B7%E5%AE%B6%E6%97%8F-shoplifters-8205
41,玩命颶風,4.3,2018-03-08,https://movies.yahoo.com.tw/movieinfo_main/%E7%8E%A9%E5%91%BD%E9%A2%B6%E9%A2%A8-the-hurricane-heist-7761
42,大師兄,4.4,2018-08-24,https://movies.yahoo.com.tw/movieinfo_main/%E5%A4%A7%E5%B8%AB%E5%85%84-big-brother-8398
43,閨蜜 2,3.3,2018-03-02,https://movies.yahoo.com.tw/movieinfo_main/%E9%96%A8%E8%9C%9C2-girls-ii-6932
44,摯友維尼,4.4,2018-08-03,https://movies.yahoo.com.tw/movieinfo_main/%E6%91%AF%E5%8F%8B%E7%B6%AD%E5%B0%BC-christopher-robin-7887
45,粽邪,3.7,2018-08-31,https://movies.yahoo.com.tw/movieinfo_main/%E7%B2%BD%E9%82%AA-the-rope-curse-8421
46,遊戲夜殺必死,4.1,2018-02-27,https://movies.yahoo.com.tw/movieinfo_main/%E9%81%8A%E6%88%B2%E5%A4%9C%E6%AE%BA%E5%BF%85%E6%AD%BB-game-night-7819
47,意外,4.2,2018-02-09,https://movies.yahoo.com.tw/movieinfo_main/%E6%84%8F%E5%A4%96-three-billboards-outside-ebbing-missouri-7388
48,鬥魚,4.2,2018-08-17,https://movies.yahoo.com.tw/movieinfo_main/%E9%AC%A5%E9%AD%9A-the-outsiders-8415
49,犬之島,4.3,2018-06-01,https://movies.yahoo.com.tw/movieinfo_main/%E7%8A%AC%E4%B9%8B%E5%B3%B6-isle-of-dogs-7402
